Id;Name;Name2
DAPHN_WHI;Daphne ?whiteorum C. D. Brickell;(Daphne ?whiteorum C. D. Brickell)
DARKS;Darksidea D.G. Knapp, Kovacs, J.Z. Groenew. & Crous;(Darksidea D.G. Knapp, Kovacs, J.Z. Groenew. & Crous)
DARKS_ALP;Darksidea alpha D.G. Knapp, Kovacs, J.Z. Groenew. & Crous;(Darksidea alpha D.G. Knapp, Kovacs, J.Z. Groenew. & Crous)
DASIP;Dasiphora Raf.;(Dasiphora Raf.)
DASIP_ARB;Dasiphora arbuscula (D. Don) Sojak;(Dasiphora arbuscula (D. Don) Sojak)
DASIP_DAV;Dasiphora davurica (Nestl.) Kom.;(Dasiphora davurica (Nestl.) Kom.)
DASIP_FRI;Dasiphora ?friedrichsenii (Spath) Juz.;(Dasiphora ?friedrichsenii (Spath) Juz.)
DASIP_FRU;Dasiphora fruticosa (L.) Rydb.;(Dasiphora fruticosa (L.) Rydb.)
DASIP_FRU_FRU;Dasiphora fruticosa (L.) Rydb. subsp. fruticosa;(Dasiphora fruticosa (L.) Rydb. subsp. fruticosa)
DATUR;Datura;(Datura)
DATUR_INO;Datura innoxia Mill.;(Datura innoxia Mill.)
DATUR_MET;Datura metel L.;(Datura metel L.)
DATUR_STR;Datura stramonium L.;(Datura stramonium L.)
DAUCU;Daucus L.;(Daucus L.)
DAUCU_CAR;Daucus carota L.;(Daucus carota L.)
DAVID;Davidia;(Davidia)
DAVID_INV;Davidia involucrata Baill.;(Davidia involucrata Baill.)
DCHND;Dichondra J. R. et G. Forst;(Dichondra J. R. et G. Forst)
DCHND_REP;Dichondra repens J. R. Forst. & G. Forst.;(Dichondra repens J. R. Forst. & G. Forst.)
DCHSN;Dichorisandra J.C. Mikan;(Dichorisandra J.C. Mikan)
DCRYN;Dicorynia;(Dicorynia)
DCRYN_GUI;Dicorynia guianensis Amshoff;(Dicorynia guianensis Amshoff)
DCRYN_PAR;Dicorynia paraensis Benth.;(Dicorynia paraensis Benth.)
DCTLC;Dactyloctenium;(Dactyloctenium)
DCTLC_AEG;Dactyloctenium aegyptium (L.) Willd.;(Dactyloctenium aegyptium (L.) Willd.)
DCTLS;Dactylis L.;(Dactylis L.)
DCTLS_GLO;Dactylis glomerata L.;(Dactylis glomerata L.)
DCTLS_GLO_HIS;Dactylis glomerata L. subsp. hispanica (Roth) Nyman;(Dactylis glomerata L. subsp. hispanica (Roth) Nyman)
DCTLS_GLO_LOB;Dactylis glomerata L. subsp. lobata (Drejer) H. Lindb.;(Dactylis glomerata L. subsp. lobata (Drejer) H. Lindb.)
DCTYS;Dictyosphaerium;(Dictyosphaerium)
DCTYS_PUL;Dictyosphaerium pulchellum Wood;(Dictyosphaerium pulchellum Wood)
DELAI;Delairea Lem.;(Delairea Lem.)
DELAI_ODO;Delairea odorata Lem.;(Delairea odorata Lem.)
DELON;Delonix;(Delonix)
DELON_FLO;Delonix floribunda (Baill.) Capuron;(Delonix floribunda (Baill.) Capuron)
DELON_REG;Delonix regia (Bojer ex Hook.) Raf.;(Delonix regia (Bojer ex Hook.) Raf.)
DELOS;Delosperma N. E. Br.;(Delosperma N. E. Br.)
DELOS_COO;Delosperma cooperi (Hook. f.) L. Bolus;(Delosperma cooperi (Hook. f.) L. Bolus)
DELOS_FLO;Delosperma floribundum L.Bolus;(Delosperma floribundum L.Bolus)
DELOS_NUB;Delosperma nubigenum (Schltr.) L. Bolus;(Delosperma nubigenum (Schltr.) L. Bolus)
DELPH;Delphinium L.;(Delphinium L.)
DELPH_BEL;Delphinium ?belladonna hort. ex Bergmans;(Delphinium ?belladonna hort. ex Bergmans)
DELPH_CAR;Delphinium cardinale Hook.;(Delphinium cardinale Hook.)
DELPH_CUL;Delphinium ?cultorum Voss;(Delphinium ?cultorum Voss)
DELPH_ELA;Delphinium elatum L.;(Delphinium elatum L.)
